HHID,PN,value_06,value_08
12695,20,1.4,
12695,30,1.8,
12709,20,1.4,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,1.6,
12744,11,3.4,
12745,10,2.4,
12745,20,1.8,
12756,10,,1.1666666666666667
12756,11,,1.0
12762,20,,1.0
12765,10,,5.333333333333333
12786,10,,1.6666666666666667
12792,10,1.0,
12821,10,,1.0
12852,30,,2.5
12854,10,2.0,
12864,20,1.0,
12887,10,,
12909,20,1.8,
12920,10,5.6,
12964,40,,
12967,10,,1.0
12979,10,1.8,
12979,20,1.4,
12981,30,,1.0
12987,20,,
13054,40,,
13062,10,,1.3333333333333333
13063,10,1.4,
13137,20,0.8,
13137,21,1.8,
13140,10,1.0,
13140,40,1.0,
13142,10,,1.0
13142,20,,1.0
13158,10,1.6,
13176,20,1.0,
13189,20,1.4,
13189,30,1.6,
13194,10,2.2,
13208,10,1.0,
13208,40,2.8,
13211,10,1.0,
13211,20,1.0,
13216,10,,1.0
13231,10,1.2,
13231,20,3.6,
13238,10,1.0,
13242,10,3.0,
13257,10,3.2,
13286,10,,2.0
13286,20,,1.0
13296,10,,1.0
13305,30,,
13317,10,,4.666666666666667
13317,40,,2.1666666666666665
13318,10,,
13318,20,,
13344,10,,2.0
13344,40,,1.6666666666666667
13371,10,2.0,
13371,12,1.0,
13387,40,,1.5
13390,20,3.8,
13390,21,2.4,
13392,20,,
13399,10,1.6,
13418,10,1.0,
13433,30,2.4,
13465,10,,
13465,40,,1.6666666666666667
13518,40,,1.3333333333333333
13527,10,,1.6666666666666667
13527,20,,
13547,20,,1.3333333333333333
13552,20,1.4,
13552,30,2.2,
13560,10,,
13561,20,,1.0
13583,30,,1.5
13590,30,1.4,
13590,40,1.8,
13595,11,,2.1666666666666665
13598,10,1.2,
13598,20,2.8,
13600,10,,1.0
13600,20,,1.0
13601,40,,1.0
13612,10,,1.5
13631,10,,1.1666666666666667
13635,10,1.0,
13635,20,1.2,
13637,10,1.8,
13637,40,,
13656,40,2.4,
13671,10,,
13671,20,,
13699,10,,1.3333333333333333
13734,10,1.8,
13734,20,1.4,
13738,10,1.4,
13738,20,1.8,
13753,10,,1.3333333333333333
13753,20,,1.0
13757,30,1.4,
13772,20,1.0,
13772,30,1.0,
13784,10,,1.0
13784,40,,1.3333333333333333
13802,20,,1.3333333333333333
13813,10,,3.0
13814,10,,1.0
13814,40,,1.8333333333333333
13815,10,,
13816,10,,
13816,40,,
13817,10,,1.8333333333333333
13817,11,,1.0
13817,40,,1.0
13817,41,,2.0
13820,10,,
13820,20,,
13857,10,2.4,
13857,20,1.0,
13858,20,,
13858,30,1.0,
13897,10,,1.3333333333333333
13899,10,,1.1666666666666667
13899,40,1.0,
13899,41,1.0,
13902,10,1.6,
13902,20,1.6,
13912,10,,1.3333333333333333
13912,20,,1.3333333333333333
13915,10,,1.1666666666666667
13915,11,,1.6666666666666667
13916,10,1.8,
13916,40,1.0,
13965,10,,
13965,20,,
14008,10,,
14024,20,2.2,
14024,30,4.6,
14028,10,1.4,
14028,20,2.2,
14033,10,,1.1666666666666667
14036,40,,
14043,10,,1.8333333333333333
14043,20,,1.0
14063,10,1.4,
14063,20,1.0,
14069,10,1.2,
14069,20,1.8,
14072,10,1.8,
14072,40,1.0,
14080,20,,
14080,30,,2.1666666666666665
14081,10,,
14081,40,,
14085,10,1.6,
14092,10,1.6,
14092,40,0.4,
14098,10,1.0,
14104,10,,1.0
14104,20,,1.6666666666666667
14115,20,1.4,
14136,40,,
14137,10,,2.5
14137,20,,1.5
14147,10,1.8,
14147,40,1.4,
14149,20,,2.3333333333333335
14149,30,,1.6666666666666667
14157,10,2.8,
14157,40,2.6,
14159,30,2.0,
14167,10,,1.1666666666666667
14167,40,,1.1666666666666667
14179,10,,1.0
14179,40,,1.0
14188,20,1.2,
14188,30,2.6,
14199,20,,1.5
14202,10,,
14212,10,,1.6666666666666667
14212,20,,
14214,10,,1.6666666666666667
14215,30,1.8,
14223,10,,
14224,10,1.0,
14234,10,,2.1666666666666665
14234,11,,1.0
14234,41,,1.5
14244,20,1.0,
14244,30,1.0,
14247,10,2.2,
14247,40,2.0,
14251,10,2.4,
14252,10,,1.3333333333333333
14259,20,,
14259,30,1.0,
14270,10,,
14270,40,3.0,
14272,10,1.0,
14272,11,,
14275,10,1.4,
14307,10,1.0,
14332,10,2.8,
14332,11,,
14341,10,,1.5
14349,10,,1.8333333333333333
14349,40,,1.5
14359,10,,2.3333333333333335
14359,20,,1.1666666666666667
14397,10,,1.0
14397,20,,1.5
14411,10,2.6,
14420,10,3.2,
14420,20,1.0,
14427,10,,1.0
14430,10,,1.0
14430,20,,1.0
14433,10,1.0,
14433,20,1.0,
14434,20,1.0,
14434,30,1.0,
14436,20,2.2,
14436,21,2.0,
14449,10,,
14449,40,,
14455,11,,1.0
14456,10,,1.0
14456,20,,1.0
14458,30,,1.5
14458,31,,1.8333333333333333
14535,11,,
14568,10,2.0,
14568,20,1.0,
14587,10,1.0,
14587,11,2.0,
14605,10,1.6,
14605,40,2.0,
14617,20,1.6,
14619,20,1.0,
14619,21,1.0,
14624,10,1.6,
14624,40,1.6,
14640,10,,1.5
14655,30,1.0,
14674,10,,1.0
14681,10,,4.166666666666667
14681,40,,4.333333333333333
14701,10,1.0,
14711,10,1.0,
14711,11,6.0,
14711,12,,
14726,10,,1.8333333333333333
14726,40,,1.0
14736,10,,1.0
14746,10,1.0,
14748,20,2.0,
14754,10,1.6,
14754,40,,
14756,10,1.8,
14756,40,2.8,
14758,20,3.0,
14758,30,2.4,
14782,10,1.0,
14787,10,2.2,
14830,10,,1.0
14830,20,,1.0
14844,10,,1.8333333333333333
14852,20,,1.8333333333333333
14869,10,1.6,
14869,20,1.6,
14872,10,,1.1666666666666667
14872,20,,1.1666666666666667
14955,10,1.0,
14955,40,1.4,
14959,10,1.0,
14959,20,1.0,
14996,10,,
15015,20,1.2,
15023,10,,1.5
15023,40,,4.166666666666667
15048,10,1.2,
15056,20,1.0,
15056,30,1.0,
15080,40,2.4,
15129,10,2.0,
15140,40,,
15148,10,2.2,
15159,10,2.0,
15172,10,1.0,
15189,10,,1.0
15189,40,,2.8333333333333335
15195,10,,1.8333333333333333
15204,10,1.8,
15204,20,1.4,
15209,10,1.4,
15216,10,,1.0
15225,10,1.4,
15225,20,1.8,
15230,10,1.0,
15230,20,1.0,
15236,10,2.0,
15236,40,1.4,
15257,10,,1.0
15268,20,1.0,
15293,10,,
15294,10,,3.3333333333333335
15304,30,,
15332,40,,
15339,10,,1.0
15341,40,,2.1666666666666665
15344,10,1.8,
15344,20,4.2,
15346,20,,1.6666666666666667
15346,30,,1.5
15372,10,1.0,
15419,10,,1.3333333333333333
15429,10,,1.0
15436,10,,1.0
15436,20,,2.0
15440,10,,1.0
15440,40,,1.3333333333333333
15445,10,,1.6666666666666667
15445,40,,1.1666666666666667
15447,10,1.0,
15447,20,1.0,
15469,10,,
15497,10,,2.0
15497,40,,1.0
15511,10,2.6,
15511,40,1.2,
15514,20,,1.5
15514,30,,2.3333333333333335
15516,10,1.0,
15516,20,1.8,
15536,10,,1.0
15536,11,1.6,
15537,10,,2.0
15543,10,,1.0
15543,20,,1.1666666666666667
15551,10,,1.0
15551,20,,1.0
15560,40,,
15570,40,,1.0
15588,40,,1.6666666666666667
15591,10,,1.8333333333333333
15591,20,,2.3333333333333335
15593,20,,1.0
15593,30,,1.5
15618,10,,
15625,10,1.6,
15636,10,1.0,
15648,20,,
15648,30,,
15657,10,,1.3333333333333333
15658,10,,1.6666666666666667
15676,10,,1.5
15676,40,,1.0
15698,10,,1.0
15698,40,,1.3333333333333333
15708,10,,1.0
15709,20,,2.8333333333333335
15709,30,,1.6666666666666667
15726,10,1.0,
15726,40,1.6,
15730,30,,1.0
15734,40,,
15752,20,,1.0
15776,10,1.0,
